Serviço,Pergunta,Resposta
Aporte-e-Saque,Quanto custa:,Não há cobrança de tarifas aos usuários do serviço na Rede de Atendimento dos Correios.
Aporte-e-Saque,VEJA TAMBÉM,Para demais orientações e informações; o cliente deverá acessar www.surfpay.com.br ou ligar para *288
Aporte-e-Saque,Atalho,http://www.correios.com.br/a-a-z/aporteesaque
áreas-com-restrição-de-entrega-domiciliar,Áreas com restrição de entrega domiciliar,Os Correios não efetuam a entrega domiciliar em algumas cidades; em área rural; logradouros de difícil acesso ou de risco. Para estes casos; os Correios enviam os objetos para uma unidade mais próxima do endereço do destinatário; para que seja realizada a entrega interna.
áreas-com-restrição-de-entrega-domiciliar,Como funciona,Existem duas possibilidades para os destinos do objeto:a) Ser destinado a uma área sem restrições de entrega domiciliar;b) Ser destinado a uma área com restrições de entrega domiciliar.Para consultar se o CEP para onde você está enviando o seu objeto possui ou não restrição de entrega domiciliar; clique aqui.Caso o objeto seja destinado a uma área sem restrições de entrega domiciliar; os Correios farão a entrega no endereço indicado como destino. Para saber mais; acesse Entrega domiciliar.Caso o objeto seja destinado a uma área com restrições de entrega domiciliar; os Correios avaliarão qual a providência a ser tomada para o CEP indicado; podendo alongar o prazo de entrega do objeto em mais 7 dias úteis ou enviar o objeto para uma das Unidades dos Correios; de modo que o destinatário possa retirá-lo: os Correios deixarão um aviso de chegada no endereço do destinatário
áreas-com-restrição-de-entrega-domiciliar,Prazos para retirada de objetos em agências,Os objetos ficam disponíveis; para retirada; por um prazo definido em função da modalidade do serviço; de acordo com a tabela abaixo.
áreas-com-restrição-de-entrega-domiciliar,Serviço	Prazo de Guarda,  – Dias corridos Encomendas nacionais (SEDEX; PAC)= 07 dias. Após os prazos mencionados; os objetos não procurados serão devolvidos aos remetentes.
áreas-com-restrição-de-entrega-domiciliar,Atalho,http://www.correios.com.br/a-a-z/areas-com-restricao-de-entrega-domiciliar
AR-convencional,Aviso de Recebimento - AR (Convencional),É o serviço adicional que; por meio do preenchimento de formulário próprio; permite comprovar; junto ao remetente; a entrega do objeto.
AR-convencional,Disponibilidade do serviço,Em todo o território nacional
AR-convencional,Quem pode usar,- Pessoas físicas;- Pessoas jurídicas com e sem contrato.
AR-convencional,Características,- O formulário do AR é devolvido ao remetente com a assinatura da pessoa que recebeu o objeto;- Pode ser utilizado nas postagens de Cartas; Cartão Postal; Impressos; Mala Direta Postal; e Encomendas (PAC e SEDEX).
AR-convencional,Por que usar este serviço?,- Validade jurídica para demonstração do recebimento do objeto postal ao qual se vincula;- Disponibilização de modelos diferenciados de AR; para clientes a faturar.
AR-convencional,Onde comprar,O serviço está disponível em todas as Agências de Correios e; para pessoas jurídicas; também poderá ser adquirido por meio de contrato. Contate nossos representantes comerciais.
AR-convencional,Quanto Custa,Veja aqui o preço do serviço.
AR-convencional,Prazo,O prazo previsto para a devolução do AR; no âmbito nacional; será o mesmo estabelecido para os objetos simples urgentes; contando a partir da data de assinatura do Aviso de Recebimento pelo recebedor do objeto.
AR-convencional,Recomendações e restrições,O AR somente poderá ser utilizado junto a objetos registrados; É imprescindível o preenchimento correto de todos os campos do formulário do AR; especialmente os campos destinados aos dados do remetente e do destinatário. Dados incompletos e/ou incorretos atrasam ou mesmo impedem a devolução do AR.
AR-convencional,Veja também,Endereçador; serviço gratuito de geração e impressão de rótulos e etiquetas para endereçamento e que permite imprimir também os Avisos de Recebimento.
AR-convencional,Atalho,http://www.correios.com.br/a-a-z/aviso-de-recebimento-ar#tab-1
AR-digital,Aviso de Recebimento Digital - AR Digital,É um serviço adicional que disponibiliza à empresa remetente de um objeto postado sob registro; a imagem do Aviso de Recebimento (AR); com a indexação de dados relativos à distribuição do objeto.
AR-digital,Disponibilidade do serviço:,Em todo o território nacional
AR-digital,Quem pode usar:,Pessoa Jurídica; mediante contrato.
AR-digital,Características:,Tipos de formulário AR Digital sem 2D – formulário que traz apenas o código de barras em seu conteúdo (verificar disponibilidade).AR Digital com 2D – formulário que traz dois códigos em seu conteúdo - código de barras e código bidimensional - 2D (QR-Code).
AR-digital,Observação, não existe diferença na prestação do serviço realizado para os dois tipos de formulário. A inclusão do código bidimensional tem como objetivo ampliar o oferecimento do serviço ao mercado.
AR-digital,Benefícios Oferecidos,O formulário digitalizado poderá ser acessado por meio do site www.correiohibridoreverso.com.br e/ou recebido de forma ativa; em lote; por meio de mídia física ou de um protocolo de transferência de arquivos (consultar viabilidade).
AR-digital,Como funciona:,Serviços Básicos: Coleta da assinatura; nome legível; número do documento de identificação e data da entrega. Em caso de insucesso na entrega do objeto; será assinalado o Motivo da Devolução;Disponibilização diária da informação de entrega ou não entrega do objeto com o respectivo Motivo de Devolução;Digitalização do formulário após entrega ou devolução do objeto;Disponibilização da imagem do AR e de informação sobre a distribuição do objeto;Armazenamento lógico e físico por até 6 meses;Gravação das informações em mídia eletrônica ou pasta de transferência (consultar viabilidade); após digitalização dos formulários ou após prazo de armazenamento contratado.
AR-digital,Condições de aceitação,Cumprir as orientações constantes no Anexo Contratual do serviço;Observar as regras dispostas nos seguintes documentos:1. Modelos de formulário:Sem 2D* Com 2D* -2. Modelo de Lista de Postagem -3. Modelo de Resumo de Postagem -4. Modelo de Layout de Arquivo de Retorno -5. Modelo de Leiaute Padrão de Arquivo de Postagem -6.Guia Técnico Código Bidimensional Datamatrix 2d -* Código Bidimensional Informações sobre a entrega dos objetos - Motivos de Baixa-Devolução SGD - Unidades de referência -Abrangência dos Centros de Digitalização
AR-digital,Forma de entrega:, Indicações Destinado a qualquer pessoa jurídica que deseja comprovar o recebimento de um lote de objetos registrados; com acesso rápido à informação e possibilidade de arquivamento eletrônico.
AR-digital,Por que usar este serviço?,Para obter informação sobre a destinação final dos objetos; Para obter dados do recebedor; Porque possui validade jurídica para comprovação da entrega do objeto postal ao qual se vincula.
AR-digital,Quanto custa:,Veja aqui o preço do serviço.
AR-digital,Prazo,A imagem do AR digitalizado será disponibilizada no prazo de até 10 (dez) dias úteis após a entrega ou devolução do objeto.
AR-digital,Onde solicitar,Pessoa jurídica com contrato; por meio do Consultor Comercial dos Correios.Pessoa jurídica sem contrato; por meio do Contato Comercial do seu Estado.
AR-digital,Como pagar,Mediante fatura.
AR-digital,Produtos relacionados,Pode ser vinculado à encomendas e mensagens registradas.
AR-digital,Arquivos, http://www.correios.com.br/a-a-z/aviso-de-recebimento-digital-ar-digital/arquivos/Guia_Tcnico_CDIGOBIDIMENSIONALDATAMATRIX2DARDIGITAL_verso_00.1_01_03_17.pdf
AR-digital,Atalho,http://www.correios.com.br/a-a-z/aviso-de-recebimento-digital-ar-digital#tab-5
Atendimento-Presencial–Telefónica,Atendimento Presencial – Telefônica,Algumas operadoras de serviços telefônicos utilizam as agências dos Correios para o atendimento presencial de seus clientes. O atendimento presencial é obrigatório de acordo com a Resolução nº 632; de 7 de março de 2014 da ANATEL que obriga que o consumidor possa ser atendido presencialmente por pessoa devidamente qualificada para receber; responder e solucionar ou encaminhar para solução pedidos de informação; reclamações e solicitações de serviços; rescisão ou qualquer outra demanda ligada ao serviço da Prestadora.
Atendimento-Presencial–Telefónica,Atendimento-Presencial–Telefónica,Disponibilidade do serviço:Em todo o território nacional. A disponibilidade do Serviço de Atendimento Presencial - Telefônica; depende do contrato de cada operadora. Para consultar a disponibilidade do atendimento presencial por meio de uma agência de Correios; em sua localidade; consulte a sua operadora..Operadoras Parceiras dos Correios OI - BRASIL TELECOM OI - TELEMAR NORTE LESTE E TELEFÔNICA – VIVO
Atendimento-Presencial–Telefónica,Observação:, Para consultar a disponibilidade do atendimento presencial e os serviços prestados por meio de uma agência de Correios; em sua localidade; consulte a sua operadores.
Atendimento-Presencial–Telefónica,Como funciona?,Caso a agência dos Correios seja um ponto autorizado de atendimento; é possível realizar os seguintes serviços:- Alteração de dados cadastrais; - Alteração de data de vencimento; - Contestação de débitos; - Solicitação de segunda via da conta; - Solicitação de reparo/manutenção; - Reclamações e sugestões; - entre outros.
Atendimento-Presencial–Telefónica,Por que usar este serviço?,• Acessibilidade e comodidade de atendimento bem perto de onde você mora ou trabalha.• Horário de atendimento ampliado - 8 horas por dia; de segunda a sexta-feira.
Atendimento-Presencial–Telefónica,Atalho,http://www.correios.com.br/a-a-z/atendimento-presencial-telefonia
Achados-e-Perdidos,Achados e Perdidos,Perdeu seus documentos? Verifique se seu nome consta na relação de Achados e Perdidos dos Correios. Esse serviço permite a entrega ao titular*; ou a devolução ao órgão emissor; de documentos perdidos e/ou extraviados entregues em Agências dos Correios ou depositados em nossas caixas de coleta.
Achados-e-Perdidos,Acesso ao sistema,http://www2.correios.com.br/servicos/achados_perdidos/default.cfm
Achados-e-Perdidos,Como funciona,Verifique primeiramente se seu nome consta na relação de achados e perdidos dos Correios. Se constar; anote os dados da agência onde estão seus documentos e vá até a unidade. Os documentos encontrados são mantidos na agência por 60 dias contados a partir da data em que deram entrada. Após esse período são encaminhados aos órgãos emissores. No momento da retirada; você deve comprovar que é titular do documento e pagar a taxa (verifique o valor da taxa).
Achados-e-Perdidos,Quem pode retirar os documentos em agências,O documento será entregue ao proprietário ou representante legal devidamente reconhecido. O documento de pessoas maiores de 18 anos poderá ser entregue a outra pessoa; desde que o titular do documento autorize por escrito; O documento de menores de 18 anos somente poderá ser retirado pelos pais ou responsáveis; necessitando; para isso; da apresentação de um documento de identidade; O menor de 18 anos não pode autorizar outra pessoa a proceder à retirada do documento; 
Achados-e-Perdidos,Documentos necessários para a retirada:,Próprio titular do documento:- Original e cópia do Boletim de Ocorrência. Representante do Titular: - Autorização por escrito; assinada pelo dono do documento. - Identidade do representante ou outro documento oficial. - Boletim de Ocorrência (original e cópia) relativo à perda do documento.
Achados-e-Perdidos,Onde retirar os documentos,Os documentos poderão ser retirados nas agências centrais de cada localidade. Os documentos ficarão nos Correios à disposição dos interessados pelo prazo de 60 dias corridos; contados a partir; inclusive; da data de recebimento do documento na agência em que o documento estará disponível. Após este período; os documentos serão enviados para os seus respectivos órgãos emissores. Os Correios cobrarão a tarifa para o serviço Achados e Perdidos vigente na data da entrega. Caso sejam entregues vários documentos; de uma só vez e pertencentes a uma mesma pessoa; deverá ser cobrado este valor uma única vez. 
Achados-e-Perdidos,Outras informações,Os Correios não se responsabilizam pela utilização indevida de documentos extraviados; desde que ocorrida em data anterior à de entrada na Unidade dos Correios e posterior à data de remessa aos órgãos emissores. A cópia do Boletim de Ocorrência ficará retida na unidade de entrega para salvaguardar a ECT de usos indevidos dos documentos perdidos e retirados. Quanto à perda dos documentos que permitam a identificação através de foto; além do nome do titular; deve-se solicitar a identificação completa de filiação (pai e mãe). – Quanto à ocorrência de roubo dos documentos; deverá ser checado; também; o Boletim de Ocorrência – BO.
Achados-e-Perdidos,Onde entregar os documentos achados?,Em uma agência dos Correios ou por meio de depósito em caixas de coleta. Os Correios recebem exclusivamente documentos.
Achados-e-Perdidos,Onde se informar sobre os documentos perdidos,Para saber mais sobre documentos perdidos; acesse a seção Fale com os Correios. Você pode entrar em contato por telefone; na Central de Atendimento dos Correios; ou solicitar atendimento via e-mail.
Achados-e-Perdidos,Quanto custa,Os Correios cobrarão a tarifa para o serviço Achados e Perdidos vigente na data da entrega. Caso sejam entregues vários documentos; de uma só vez e pertencentes a uma mesma pessoa; deverá ser cobrado este valor uma única vez. (Verifique o valor da taxa).
Achados-e-Perdidos,Achados e Perdidos Outros prazos,Os documentos ficarão nos Correios à disposição dos interessados pelo prazo de 60 dias corridos; contados a partir; inclusive; da data de recebimento do documento na agência em que o documento estará disponível. Após este período; os documentos serão enviados para os seus respectivos órgãos emissores.
Achados-e-Perdidos,preços,http://www.correios.com.br/precos-e-prazos/servicos-adicionais-nacionais
Achados-e-Perdidos,Atalho,http://www.correios.com.br/a-a-z/achados-e-perdidos#tab-1
